"Torque, Nm","Speed, rad/s"
0.00013,900.3993642782115
0.00014147678470259115,899.4980636132683
0.0001529535694051823,898.5967629483251
0.00016443035410777345,897.695462283382
0.00017590713881036462,896.7941616184388
0.00018738392351295578,895.8928609534956
0.00019886070821554692,894.9915602885525
0.00021033749291813808,894.0902596236093
0.00022181427762072922,893.1889589586661
0.0002332910623233204,892.287658293723
0.00024476784702591155,891.3863576287798
0.0002562446317285027,890.4850569638368
0.0002677214164310939,889.5837562988936
0.00027919820113368504,888.6824556339504
0.0002906749858362762,887.7811549690073
0.0003021517705388673,886.8798543040641
0.0003136285552414585,885.978553639121
0.00032510533994404965,885.0772529741778
0.00033658212464664076,884.1759523092346
0.0003480589093492319,883.2746516442915
0.0003595356940518231,882.3733509793483
0.00037101247875441425,881.4720503144051
0.0003824892634570054,880.570749649462
0.0003939660481595966,879.6694489845189
0.00040544283286218774,878.7681483195757
0.0004169196175647789,877.8668476546326
0.00042839640226737007,876.9655469896894
0.00043987318696996124,876.0642463247463
0.0004513499716725524,875.1629456598031
0.00046282675637514357,874.2616449948599
0.0004743035410777346,873.3603443299168
0.0004857803257803258,872.4590436649736
0.000497257110482917,871.5577430000304
0.0005087338951855081,870.6564423350873
0.0005202106798880993,869.7551416701442
0.0005316874645906904,868.853841005201
0.0005431642492932816,867.9525403402579
0.0005546410339958728,867.0512396753147
0.0005661178186984639,866.1499390103716
0.0005775946034010551,865.2486383454284
0.0005890713881036463,864.3473376804852
0.0006005481728062374,863.4460370155421
0.0006120249575088286,862.5447363505989
0.0006235017422114198,861.6434356856557
0.0006349785269140108,860.7421350207126
0.000646455311616602,859.8408343557694
0.0006579320963191931,858.9395336908264
0.0006694088810217843,858.0382330258832
0.0006808856657243755,857.13693236094
0.0006923624504269666,856.2356316959969
0.0007038392351295578,855.3343310310537
0.000715316019832149,854.4330303661105
0.0007267928045347401,853.5317297011674
0.0007382695892373312,852.6304290362242
0.0007497463739399225,851.729128371281
0.0007612231586425136,850.8278277063379
0.0007726999433451048,849.9265270413947
0.000784176728047696,849.0252263764517
0.0007956535127502871,848.1239257115085
0.0008071302974528783,847.2226250465653
0.0008186070821554693,846.3213243816222
0.0008300838668580605,845.420023716679
0.0008415606515606517,844.5187230517358
0.0008530374362632428,843.6174223867927
0.000864514220965834,842.7161217218495
0.0008759910056684252,841.8148210569063
0.0008874677903710163,840.9135203919632
0.0008989445750736075,840.01221972702
0.0009104213597761986,839.1109190620768
0.0009218981444787897,838.2096183971338
0.0009333749291813809,837.3083177321906
0.000944851713883972,836.4070170672475
0.0009563284985865632,835.5057164023043
0.0009678052832891544,834.6044157373611
0.0009792820679917454,833.703115072418
0.0009907588526943368,832.8018144074748
0.0010022356373969277,831.9005137425316
0.001013712422099519,830.9992130775885
0.00102518920680211,830.0979124126453
0.0010366659915047012,829.1966117477021
0.0010481427762072924,828.2953110827591
0.0010596195609098836,827.3940104178159
0.0010710963456124747,826.4927097528728
0.001082573130315066,825.5914090879296
0.001094049915017657,824.6901084229864
0.0011055266997202482,823.7888077580433
0.0011170034844228394,822.8875070931001
0.0011284802691254306,821.986206428157
0.0011399570538280215,821.0849057632138
0.0011514338385306127,820.1836050982706
0.0011629106232332038,819.2823044333276
0.001174387407935795,818.3810037683844
0.0011858641926383862,817.4797031034412
0.0011973409773409773,816.5784024384981
0.0012088177620435685,815.6771017735549
0.0012202945467461597,814.7758011086117
0.0012317713314487508,813.8745004436686
0.001243248116151342,812.9731997787254
0.0012547249008539331,812.0718991137823
0.0012662016855565243,811.1705984488391
0.0012776784702591155,810.2692977838959
0.0012891552549617066,809.3679971189529
0.0013006320396642978,808.4666964540097
0.001312108824366889,807.5653957890665
0.0013235856090694801,806.6640951241234
0.001335062393772071,805.7627944591802
0.0013465391784746622,804.861493794237
0.0013580159631772536,803.9601931292939
0.0013694927478798448,803.0588924643507
0.001380969532582436,802.1575917994076
0.0013924463172850271,801.2562911344644
0.0014039231019876183,800.3549904695212
0.0014153998866902094,799.4536898045781
0.0014268766713928006,798.5523891396349
0.0014383534560953918,797.6510884746917
0.001449830240797983,796.7497878097486
0.001461307025500574,795.8484871448055
0.0014727838102031653,794.9471864798624
0.0014842605949057564,794.0458858149192
0.0014957373796083476,793.144585149976
0.0015072141643109385,792.2432844850329
0.0015186909490135297,791.3419838200897
0.0015301677337161209,790.4406831551465
0.001541644518418712,789.5393824902034
0.0015531213031213032,788.6380818252602
0.0015645980878238944,787.7367811603172
0.0015760748725264855,786.835480495374
0.0015875516572290767,785.9341798304308
0.0015990284419316679,785.0328791654877
0.001610505226634259,784.1315785005445
0.0016219820113368502,783.2302778356013
0.0016334587960394414,782.3289771706582
0.0016449355807420325,781.427676505715
0.0016564123654446237,780.5263758407718
0.0016678891501472148,779.6250751758287
0.001679365934849806,778.7237745108855
0.0016908427195523972,777.8224738459423
0.0017023195042549881,776.9211731809993
0.0017137962889575793,776.019872516056
0.0017252730736601705,775.118571851113
0.0017367498583627616,774.2172711861698
0.0017482266430653528,773.3159705212266
0.001759703427767944,772.4146698562835
0.0017711802124705351,771.5133691913403
0.0017826569971731263,770.6120685263971
0.0017941337818757174,769.710767861454
0.0018056105665783086,768.8094671965109
0.0018170873512808998,767.9081665315676
0.001828564135983491,767.0068658666246
0.0018400409206860823,766.1055652016814
0.0018515177053886735,765.2042645367383
0.0018629944900912646,764.3029638717951
0.0018744712747938556,763.4016632068519
0.0018859480594964468,762.5003625419088
0.001897424844199038,761.5990618769656
0.001908901628901629,760.6977612120224
0.0019203784136042202,759.7964605470793
