"Torque, Nm","Power, W"
0.00013,0.11705191735616748
0.00014147678470259115,0.127258093886212
0.0001529535694051823,0.1374435823488888
0.00016443035410777345,0.14760838274419788
0.00017590713881036462,0.1577524950721393
0.00018738392351295578,0.16787591933271295
0.00019886070821554692,0.1779786555259189
0.00021033749291813808,0.18806070365175717
0.00022181427762072922,0.1981220637102277
0.0002332910623233204,0.20816273570133054
0.00024476784702591155,0.21818271962506566
0.0002562446317285027,0.2281820154814331
0.0002677214164310939,0.23816062327043283
0.00027919820113368504,0.24811854299206482
0.0002906749858362762,0.2580557746463291
0.0003021517705388673,0.26797231823322565
0.0003136285552414585,0.2778681737527545
0.00032510533994404965,0.2877433412049157
0.00033658212464664076,0.2975978205897091
0.0003480589093492319,0.30743161190713486
0.0003595356940518231,0.3172447151571929
0.00037101247875441425,0.3270371303398832
0.0003824892634570054,0.33680885745520583
0.0003939660481595966,0.34655989650316077
0.00040544283286218774,0.35629024748374793
0.0004169196175647789,0.36599991039696744
0.00042839640226737007,0.37568888524281924
0.00043987318696996124,0.38535717202130326
0.0004513499716725524,0.39500477073241963
0.00046282675637514357,0.4046316813761683
0.0004743035410777346,0.4142379039525491
0.0004857803257803258,0.42382343846156234
0.000497257110482917,0.43338828490320785
0.0005087338951855081,0.44293244327748565
0.0005202106798880993,0.45245591358439585
0.0005316874645906904,0.4619586958239382
0.0005431642492932816,0.4714407899961129
0.0005546410339958728,0.4809021961009199
0.0005661178186984639,0.4903429141383591
0.0005775946034010551,0.49976294410843064
0.0005890713881036463,0.5091622860111346
0.0006005481728062374,0.5185409398464706
0.0006120249575088286,0.5278989056144391
0.0006235017422114198,0.5372361833150398
0.0006349785269140108,0.5465527729482726
0.000646455311616602,0.555848674514138
0.0006579320963191931,0.5651238880126356
0.0006694088810217843,0.5743784134437655
0.0006808856657243755,0.5836122508075277
0.0006923624504269666,0.592825400103922
0.0007038392351295578,0.6020178613329489
0.000715316019832149,0.6111896344946078
0.0007267928045347401,0.6203407195888991
0.0007382695892373312,0.6294711166158227
0.0007497463739399225,0.6385808255753787
0.0007612231586425136,0.6476698464675669
0.0007726999433451048,0.6567381792923873
0.000784176728047696,0.6657858240498402
0.0007956535127502871,0.6748127807399252
0.0008071302974528783,0.6838190493626426
0.0008186070821554693,0.6928046299179922
0.0008300838668580605,0.7017695224059741
0.0008415606515606517,0.7107137268265883
0.0008530374362632428,0.7196372431798349
0.000864514220965834,0.7285400714657136
0.0008759910056684252,0.7374222116842247
0.0008874677903710163,0.7462836638353681
0.0008989445750736075,0.7551244279191438
0.0009104213597761986,0.7639445039355518
0.0009218981444787897,0.772743891884592
0.0009333749291813809,0.7815225917662646
0.000944851713883972,0.7902806035805694
0.0009563284985865632,0.7990179273275065
0.0009678052832891544,0.8077345630070759
0.0009792820679917454,0.8164305106192776
0.0009907588526943368,0.8251057701641118
0.0010022356373969277,0.8337603416415779
0.001013712422099519,0.8423942250516764
0.00102518920680211,0.8510074203944072
0.0010366659915047012,0.8595999276697704
0.0010481427762072924,0.868171746877766
0.0010596195609098836,0.8767228780183938
0.0010710963456124747,0.8852533210916538
0.001082573130315066,0.8937630760975461
0.001094049915017657,0.9022521430360707
0.0011055266997202482,0.9107205219072276
0.0011170034844228394,0.9191682127110168
0.0011284802691254306,0.9275952154474383
0.0011399570538280215,0.9360015301164919
0.0011514338385306127,0.944387156718178
0.0011629106232332038,0.9527520952524964
0.001174387407935795,0.961096345719447
0.0011858641926383862,0.96941990811903
0.0011973409773409773,0.9777227824512452
0.0012088177620435685,0.9860049687160927
0.0012202945467461597,0.9942664669135725
0.0012317713314487508,1.0025072770436845
0.001243248116151342,1.010727399106429
0.0012547249008539331,1.0189268331018055
0.0012662016855565243,1.0271055790298147
0.0012776784702591155,1.0352636368904558
0.0012891552549617066,1.0434010066837296
0.0013006320396642978,1.0515176884096353
0.001312108824366889,1.0596136820681734
0.0013235856090694801,1.0676889876593438
0.001335062393772071,1.0757436051831464
0.0013465391784746622,1.0837775346395815
0.0013580159631772536,1.091790776028649
0.0013694927478798448,1.0997833293503485
0.001380969532582436,1.1077551946046804
0.0013924463172850271,1.1157063717916444
0.0014039231019876183,1.1236368609112408
0.0014153998866902094,1.1315466619634695
0.0014268766713928006,1.1394357749483306
0.0014383534560953918,1.147304199865824
0.001449830240797983,1.1551519367159495
0.001461307025500574,1.1629789854987076
0.0014727838102031653,1.1707853462140978
0.0014842605949057564,1.1785710188621203
0.0014957373796083476,1.186336003442775
0.0015072141643109385,1.194080299956062
0.0015186909490135297,1.2018039084019814
0.0015301677337161209,1.2095068287805328
0.001541644518418712,1.2171890610917169
0.0015531213031213032,1.224850605335533
0.0015645980878238944,1.2324914615119817
0.0015760748725264855,1.2401116296210626
0.0015875516572290767,1.2477111096627755
0.0015990284419316679,1.255289901637121
0.001610505226634259,1.2628480055440987
0.0016219820113368502,1.2703854213837087
0.0016334587960394414,1.2779021491559508
0.0016449355807420325,1.2853981888608255
0.0016564123654446237,1.2928735404983323
0.0016678891501472148,1.3003282040684714
0.001679365934849806,1.3077621795712429
0.0016908427195523972,1.3151754670066464
0.0017023195042549881,1.3225680663746824
0.0017137962889575793,1.3299399776753507
0.0017252730736601705,1.3372912009086513
0.0017367498583627616,1.3446217360745842
0.0017482266430653528,1.3519315831731493
0.001759703427767944,1.3592207422043467
0.0017711802124705351,1.3664892131681765
0.0017826569971731263,1.3737369960646386
0.0017941337818757174,1.3809640908937328
0.0018056105665783086,1.3881704976554596
0.0018170873512808998,1.3953562163498183
